All Saints' Day|11|1|2014|0|0|11|1|2014|23|59|-16711936
All Soul's Day|11|2|2014|0|0|11|2|2014|23|59|-16711936
Bonifacio Day|11|30|2014|0|0|11|30|2014|23|59|-16776961
Christmas Day|12|25|2014|0|0|12|25|2014|23|59|-65536
New Year's Day|1|1|2015|0|0|1|1|2015|23|59|-65536
