Additional Class Day - Saturday Schedule,0,8,2015,0,0,-16711936
Start Finals Week,0,9,2015,0,0,-16711936
DLSU Christmas Party,0,12,2015,0,0,-65536
Start of Trimestral Break,0,16,2015,0,0,-16711936
All Saints' Day,11,1,2014,0,0,-16711936
All Soul's Day,11,2,2014,0,0,-16711936
Bonifacio Day,11,30,2014,0,0,-16776961
Christmas Day,0,25,2015,0,0,-65536
New Year's Day,1,1,2015,0,0,-65536
